sample,outcome,feature,coef,se,p_value,interpretation
model_average_across_rules,y_timing_max,ntw_x_wlth,-0.41655197465437044,0.6768035212359179,0.5382446570054048,shorter lag to peak effect
model_average_across_rules,y_timing_max,wlth_x_open,1.8183702348238633,1.1873528250556966,0.12565847461528812,longer lag to peak effect
model_average_across_rules,y_timing_max,cb_authors_ext,1.260535076579715,0.692983707280195,0.06891193356665479,longer lag to peak effect
model_average_across_rules,y_timing_max,ln_neq,0.2116950553416018,0.4217475183305442,0.6157045465674309,longer lag to peak effect
model_average_across_rules,y_timing_max,vint_mid,-0.8339735026090331,1.0805976212249575,0.44025029211832245,shorter lag to peak effect
model_average_across_rules,y_timing_max,vint_late,-0.5663958995906705,1.0424096951469966,0.586887133001196,shorter lag to peak effect
model_average_across_rules,y_timing_max,cb_x_late,-0.15875002499687205,1.2102127305560098,0.8956366302704523,shorter lag to peak effect
model_average_across_rules,piq_timing_max,const,3.1452343989575398,4.016046721024961,0.4335291770010441,longer lag to peak effect
model_average_across_rules,piq_timing_max,estimated,1.680793611816944,0.9350249345449376,0.07224164129374579,longer lag to peak effect
model_average_across_rules,piq_timing_max,sw_x_idx,-0.3185299408987928,1.1696168776427136,0.7853629161128464,shorter lag to peak effect
model_average_across_rules,piq_timing_max,sw_x_noidx,0.13570569264156504,0.8836118667048699,0.8779403880061112,longer lag to peak effect
model_average_across_rules,piq_timing_max,pr_ndx,0.7766605023264356,0.7842879319234133,0.3220398655894938,longer lag to peak effect
model_average_across_rules,piq_timing_max,wlth,-0.31504316488410367,0.7660250990604759,0.6808745434456251,shorter lag to peak effect
model_average_across_rules,piq_timing_max,bnkcrdit,0.9976832740627639,0.648155244392023,0.12373939200627943,longer lag to peak effect
model_average_across_rules,piq_timing_max,ntwrth,-1.0757921247234412,0.6730710176134023,0.10996871971067709,shorter lag to peak effect
model_average_across_rules,piq_timing_max,open,-0.5821796105850331,1.5430229695219804,0.7059520956055472,shorter lag to peak effect
model_average_across_rules,piq_timing_max,wlth_x_bnk,-0.3905671845685373,0.6960908669848279,0.5747385743484917,shorter lag to peak effect
model_average_across_rules,piq_timing_max,bnk_x_ntw,0.7183079406190406,0.7182877214142251,0.3172968855034243,longer lag to peak effect
model_average_across_rules,piq_timing_max,ntw_x_wlth,0.4053949362324941,0.6087923179425561,0.5054748822203867,longer lag to peak effect
model_average_across_rules,piq_timing_max,wlth_x_open,2.062609977061059,1.568336690945489,0.18845692908401857,longer lag to peak effect
model_average_across_rules,piq_timing_max,cb_authors_ext,4.67163361592656,1.6570807346633074,0.004814427014611774,longer lag to peak effect
model_average_across_rules,piq_timing_max,ln_neq,-0.7643197087657116,0.8589883037562969,0.3735783407810588,shorter lag to peak effect
model_average_across_rules,piq_timing_max,vint_mid,-1.5686869150473481,3.0493851561236087,0.6069532896773095,shorter lag to peak effect
model_average_across_rules,piq_timing_max,vint_late,-1.0668190209954826,2.4768480375451225,0.6666746070587977,shorter lag to peak effect
model_average_across_rules,piq_timing_max,cb_x_late,-3.9539716550696986,1.6051486374711832,0.013766251829952112,shorter lag to peak effect
