outcome,label,model_family,feature,coefficient,abs_coefficient,is_zero,p_value
sacratio20,sacratio,huber_l1,estimated__x__pr_ndx,1.5416515258451706,1.5416515258451706,False,0.0
sacratio20,sacratio,huber_l1,estimated__x__vint_late,-1.5414186702267527,1.5414186702267527,False,0.0
sacratio20,sacratio,huber_l1,ln_neq__x__vint_mid,-1.296637376114029,1.296637376114029,False,0.0
sacratio20,sacratio,huber_l1,ln_neq__x__vint_late,1.291916703131174,1.291916703131174,False,0.0
sacratio20,sacratio,huber_l1,ntwrth__x__ln_neq,1.291716294357757,1.291716294357757,False,1.4576402745080322e-07
sacratio20,sacratio,huber_l1,cb_authors_ext__x__vint_mid,1.200887004279469,1.200887004279469,False,0.0
sacratio20,sacratio,huber_l1,pr_ndx__x__vint_mid,-1.1570001229176177,1.1570001229176177,False,0.0
sacratio20,sacratio,huber_l1,open,1.0882141198899387,1.0882141198899387,False,0.0
sacratio20,sacratio,huber_l1,stky_wg__x__open,-1.0690405479212375,1.0690405479212375,False,0.0
sacratio20,sacratio,huber_l1,open__x__cb_authors_ext,-1.0690405479212375,1.0690405479212375,False,0.0
sacratio20,sacratio,huber_l1,estimated__x__wg_ndx,1.0326616678325582,1.0326616678325582,False,0.0
sacratio20,sacratio,huber_l1,pr_ndx__x__cb_authors_ext,-0.9935011141891966,0.9935011141891966,False,0.0
sacratio20,sacratio,huber_l1,stky_wg__x__ln_neq,0.9796268348411337,0.9796268348411337,False,1.8672211084386851e-06
sacratio20,sacratio,huber_l1,estimated__x__ln_neq,-0.9682322948600425,0.9682322948600425,False,0.0
sacratio20,sacratio,huber_l1,wg_ndx__x__wlth,-0.9650309830875459,0.9650309830875459,False,0.0
sacratio20,sacratio,huber_l1,stky_wg__x__bnkcrdit,0.9453019815494763,0.9453019815494763,False,0.0
sacratio20,sacratio,huber_l1,bnkcrdit__x__ln_neq,0.8218141356957646,0.8218141356957646,False,1.1230013487102292e-50
sacratio20,sacratio,huber_l1,pr_ndx__x__wlth,-0.8058254665677584,0.8058254665677584,False,0.0
sacratio20,sacratio,huber_l1,pr_ndx,-0.7828009311081562,0.7828009311081562,False,0.0
sacratio20,sacratio,huber_l1,bnkcrdit__x__ntwrth,0.7772712714340032,0.7772712714340032,False,0.012828756478640919
sacratio20,sacratio,huber_l1,estimated__x__stky_wg,0.7310911299111162,0.7310911299111162,False,0.0
sacratio20,sacratio,huber_l1,stky_wg__x__ntwrth,-0.7024965653907562,0.7024965653907562,False,0.0
sacratio20,sacratio,huber_l1,vint_late,-0.6985363094897147,0.6985363094897147,False,0.0
sacratio20,sacratio,huber_l1,wlth__x__vint_mid,0.680201223668523,0.680201223668523,False,0.0
sacratio20,sacratio,huber_l1,estimated__x__vint_mid,0.6127463061371967,0.6127463061371967,False,0.0
sacratio20,sacratio,huber_l1,pr_ndx__x__ntwrth,-0.6029762966147773,0.6029762966147773,False,0.0
sacratio20,sacratio,huber_l1,wg_ndx__x__ntwrth,0.5796849577871225,0.5796849577871225,False,0.0
sacratio20,sacratio,huber_l1,ln_neq,-0.5000484159291708,0.5000484159291708,False,0.0
sacratio20,sacratio,huber_l1,wlth__x__cb_authors_ext,0.4516284730298693,0.4516284730298693,False,0.0
sacratio20,sacratio,huber_l1,stky_wg,-0.4446684813625661,0.4446684813625661,False,0.0
sacratio20,sacratio,huber_l1,wg_ndx__x__bnkcrdit,0.44238226322828467,0.44238226322828467,False,0.0
sacratio20,sacratio,huber_l1,wlth,0.43864063091895367,0.43864063091895367,False,0.0
sacratio20,sacratio,huber_l1,stky_wg__x__vint_late,0.427642408947279,0.427642408947279,False,0.0
sacratio20,sacratio,huber_l1,stky_wg__x__vint_mid,-0.4175539941315885,0.4175539941315885,False,0.0
sacratio20,sacratio,huber_l1,estimated__x__wlth,-0.40768179852588354,0.40768179852588354,False,0.0
sacratio20,sacratio,huber_l1,stky_wg__x__pr_ndx,0.3913789586157018,0.3913789586157018,False,0.0
sacratio20,sacratio,huber_l1,estimated__x__cb_authors_ext,0.3798420039906658,0.3798420039906658,False,0.0
sacratio20,sacratio,huber_l1,pr_ndx__x__bnkcrdit,0.3100471554629065,0.3100471554629065,False,0.0
sacratio20,sacratio,huber_l1,cb_authors_ext__x__vint_late,-0.29124849160565713,0.29124849160565713,False,0.0
sacratio20,sacratio,huber_l1,pr_ndx__x__ln_neq,0.28676514153971816,0.28676514153971816,False,0.0
sacratio20,sacratio,huber_l1,estimated__x__bnkcrdit,0.27332349527347594,0.27332349527347594,False,0.0
sacratio20,sacratio,huber_l1,wlth__x__bnkcrdit,-0.21069025311170894,0.21069025311170894,False,4.094036663540556e-31
sacratio20,sacratio,huber_l1,stky_wg__x__wlth,-0.17730659443513966,0.17730659443513966,False,1.5154020296641556e-72
sacratio20,sacratio,huber_l1,ntwrth,0.17443144516106437,0.17443144516106437,False,0.0
sacratio20,sacratio,huber_l1,wg_ndx,0.15753888992290127,0.15753888992290127,False,0.0
